Id,Id2,Geography,Estimate; HOUSING OCCUPANCY - Total housing units,Percent; HOUSING OCCUPANCY - Total housing units,Estimate; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Percent; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Estimate; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Estimate; HOUSING OCCUPANCY - Homeowner vacancy rate,Percent; HOUSING OCCUPANCY - Homeowner vacancy rate,Estimate; HOUSING OCCUPANCY - Rental vacancy rate,Percent; HOUSING OCCUPANCY - Rental vacancy rate
310M300US10180,10180,"Abilene, TX Metro Area",70713,70713,60308,85.3,10405,14.7,2.4,(X),8.4,(X)
310M300US10420,10420,"Akron, OH Metro Area",313270,313270,283472,90.5,29798,9.5,1.7,(X),6.2,(X)
310M300US10500,10500,"Albany, GA Metro Area",66524,66524,57795,86.9,8729,13.1,2.2,(X),8.7,(X)
310M300US10540,10540,"Albany, OR Metro Area",49096,49096,45378,92.4,3718,7.6,1.5,(X),4.5,(X)
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",397658,397658,345957,87,51701,13,1.5,(X),5.2,(X)
310M300US10740,10740,"Albuquerque, NM Metro Area",380218,380218,343268,90.3,36950,9.7,2,(X),7.7,(X)
310M300US10780,10780,"Alexandria, LA Metro Area",66019,66019,55440,84,10579,16,1.4,(X),7.9,(X)
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",344453,344453,315449,91.6,29004,8.4,1.6,(X),5.4,(X)
310M300US11020,11020,"Altoona, PA Metro Area",56059,56059,50954,90.9,5105,9.1,0.8,(X),5,(X)
310M300US11100,11100,"Amarillo, TX Metro Area",106902,106902,95689,89.5,11213,10.5,1.7,(X),8.6,(X)
310M300US11180,11180,"Ames, IA Metro Area",38168,38168,36544,95.7,1624,4.3,0.9,(X),2.2,(X)
310M300US11260,11260,"Anchorage, AK Metro Area",155860,155860,135808,87.1,20052,12.9,1.8,(X),4.9,(X)
310M300US11460,11460,"Ann Arbor, MI Metro Area",149284,149284,138672,92.9,10612,7.1,1.2,(X),2.9,(X)
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",53326,53326,45071,84.5,8255,15.5,2.6,(X),4.4,(X)
310M300US11540,11540,"Appleton, WI Metro Area",95191,95191,90033,94.6,5158,5.4,1.4,(X),5.7,(X)
310M300US11700,11700,"Asheville, NC Metro Area",217327,217327,183799,84.6,33528,15.4,2,(X),3.9,(X)
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",83239,83239,73260,88,9979,12,2.2,(X),7.6,(X)
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2219590,2219590,1994730,89.9,224860,10.1,2.2,(X),7.7,(X)
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",127617,127617,101083,79.2,26534,20.8,2.3,(X),7.2,(X)
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",65701,65701,57901,88.1,7800,11.9,2.8,(X),5.6,(X)
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",249314,249314,211238,84.7,38076,15.3,3,(X),8.3,(X)
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",764989,764989,706066,92.3,58923,7.7,1.5,(X),5.6,(X)
