Id,Id2,Geography,2016 Total Pop,2016 Grad Degree,2016 Percent Grad Degree,2015 Total Pop,2015 Grad Degree,2015 Percent Grad Degree,2014 Total Pop,2014 Percent Grad Degree,2013 Total Pop,2013 Percent Grad Degree,2012 Total Pop,2012 Percent Grad Degree,2011 Total Pop,2011 Percent Grad Degree,2010 Total Pop,2010 Percent Grad Degree
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",3467,1094,31.55,3098,938,30.28,3034,31.8,3014,32.3,2841,32,2793,29.8,2752,33.4
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",1970,455,23.10,1887,460,24.38,1818,23.2,1822,22.2,1665,20.8,1447,12.9,1602,15.9
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",2734,1075,39.32,2667,1289,48.33,2655,47.6,2530,46,2543,48.1,2465,48.2,2551,43.4
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",2436,847,34.77,2597,940,36.20,2302,33,2229,33.8,1987,32.7,1707,36,1247,25.9
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",3077,1147,37.28,2920,1157,39.62,2886,43.6,2701,39.2,2799,40.9,2958,37.1,2942,35.6
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",1979,409,20.67,1884,384,20.38,1916,21.3,1829,22,1852,17.4,1804,17.3,1325,24.2
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",932,548,58.80,868,507,58.41,841,56.5,875,58.6,811,54.3,727,52,803,53.1
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",2786,1333,47.85,2922,1401,47.95,2701,40.9,2399,39.5,2329,39.8,2249,39,2063,33.9
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1324,743,56.12,1372,709,51.68,1427,47.8,1478,56,1376,57.3,1231,38.2,1280,38.8
1400000US42101000803,42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",3089,1445,46.78,3054,1323,43.32,3202,47,3047,51.2,3314,54.1,3406,51.4,3322,56.5
1400000US42101000804,42101000804,"Census Tract 8.04, Philadelphia County, Pennsylvania",3635,1731,47.62,3350,1507,44.99,3411,46.5,3269,47.1,2879,38.9,2691,45.3,2542,50.1
1400000US42101000901,42101000901,"Census Tract 9.01, Philadelphia County, Pennsylvania",1778,611,34.36,1604,612,38.15,1367,40.1,1490,37.1,1468,41.1,1405,36.1,1540,37.9
1400000US42101000902,42101000902,"Census Tract 9.02, Philadelphia County, Pennsylvania",1935,671,34.68,1912,651,34.05,1939,32.9,1818,35.4,1812,36.4,1588,29.6,1558,30.4
1400000US42101001001,42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania",2303,1095,47.55,2224,1101,49.51,2126,54.3,2220,56.1,2060,56.3,1997,54.7,1983,47.5
1400000US42101001002,42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania",2766,1463,52.89,2892,1383,47.82,2794,48.2,2900,45.7,2743,47.8,2614,46.6,2803,53.8
1400000US42101001101,42101001101,"Census Tract 11.01, Philadelphia County, Pennsylvania",2857,1345,47.08,2643,1306,49.41,2535,47.9,2546,44.3,2428,42,2365,47.9,2529,43.3
